feature,mean_decrease_in_r2,std_decrease_in_r2
taxAssessedValue,0.9215729443638295,0.11719139717085875
area,0.17223044800331364,0.0518103470725221
lotAreaSqFt,0.035101567769331696,0.016977655741646634
daysOnZillow,0.0020960246630025753,0.004534577849794395
baths,0.0017131546702722027,0.0005841209448437381
beds,0.0009150416056807886,0.0009298636549410473
