price_segment,records,mean_actual_price,mean_predicted_price,mean_absolute_error,median_absolute_error,mean_absolute_percentage_error,median_absolute_percentage_error,mean_signed_error,rmse_price
Lower Price,26,171184.61538461538,216410.42832147496,51905.1302233422,46906.22208581776,38.84228993952423,25.674788232587588,45225.81293685956,68070.48939389382
Lower-Middle Price,40,262129.125,257963.21046385108,37889.9687034223,21479.705438600387,14.290215858922148,8.463178484679744,-4165.914536148904,53693.13635037874
Upper-Middle Price,42,364189.3095238095,350035.3410547328,46700.24592564788,29136.60201243777,12.968540209646411,8.64147599416803,-14153.968469076737,64360.61525388488
Higher Price,37,644656.0810810811,581867.3159789171,93210.64059885114,71889.90653495467,13.39346646107174,12.371646281127394,-62788.765102164005,146796.77124748658
