variable,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max
price,810.0,418156.3864197531,546336.0897524211,19500.0,60077.4,122500.0,159810.0,219000.0,309950.0,434997.5,675900.0000000002,899000.0,2290549.9999999967,8250000.0
area,810.0,2251.0765432098765,1423.2176732432024,696.0,870.72,1066.9,1185.6,1526.25,1999.5,2647.25,3340.0,4051.3999999999996,6448.7199999999875,27417.0
pricePerSqFt,810.0,170.1182291493928,70.0953891214359,15.756302521008404,45.927099848386405,82.30789007092199,101.34455123816826,128.72800822549488,160.38001295378047,197.38957151847012,242.95434166580753,289.0313682705538,417.8219742117238,742.133386107263
beds,810.0,3.6382716049382715,1.0232244896894638,1.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,6.0,12.0
baths,810.0,2.7648148148148146,1.2028228141141772,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,7.0,13.0
lotAreaSqFt,792.0,13807.654171717171,30288.746590132025,0.0,2478.9996,4312.44,4795.956000000001,6272.64,7884.36,10715.76,19880.783999999992,34819.68599999987,146058.85800000007,531867.6000000001
taxAssessedValue,742.0,388241.6010781671,365562.55008626566,37890.0,95471.5,149196.0,183603.0,237667.5,312045.0,438605.0,613831.0,748935.4999999998,1513701.3000000024,5500000.0
daysOnZillow,808.0,51.3279702970297,79.88960853118218,0.0,0.0,0.0,2.0,4.0,23.0,74.0,136.30000000000007,172.64999999999998,329.64999999999975,1241.0
logPrice,810.0,12.675376800445187,0.6539127111364169,9.87816974455184,11.003380683606443,11.715866308966918,11.981739457060078,12.29682700879864,12.644166260118585,12.983095562878326,13.423792492529671,13.709038313453757,14.64421424402266,15.925723758310864
