variable,n_valid,mean,std,negative_zscore_outliers,positive_zscore_outliers,total_zscore_outliers,outlier_percentage
price,810,418156.3864197531,546336.0897524211,0,11,11,1.36
area,810,2251.0765432098765,1423.2176732432024,0,8,8,0.99
pricePerSqFt,810,170.1182291493928,70.0953891214359,0,17,17,2.1
beds,810,3.6382716049382715,1.0232244896894638,0,8,8,0.99
baths,810,2.7648148148148146,1.2028228141141772,0,10,10,1.23
lotAreaSqFt,792,13807.654171717171,30288.746590132025,0,11,11,1.39
taxAssessedValue,742,388241.6010781671,365562.55008626566,0,8,8,1.08
daysOnZillow,808,51.3279702970297,79.88960853118218,0,13,13,1.61
logPrice,810,12.675376800445187,0.6539127111364169,4,9,13,1.6
