price_segment,listing_count,mean_price,median_price,mean_area,median_area,mean_price_per_sqft,median_price_per_sqft,mean_days_on_zillow,median_days_on_zillow,percentage_of_listings
Under $150K,65,105616.8,110000.0,1274.8307692307692,1182.0,88.38961711023458,84.10636982065553,49.90769230769231,20.0,8.024691358024691
$150K-$300K,324,229429.11419753087,227750.0,1674.0648148148148,1592.5,143.72440153917657,140.4756418696511,52.15432098765432,21.0,40.0
$300K-$500K,265,381418.3962264151,374900.0,2281.3207547169814,2231.0,176.39219329743267,168.9337428696797,45.78326996197718,20.0,32.71604938271605
$500K-$1M,128,677053.0,649900.0,3178.46875,3071.0,222.83549044796376,212.61821432332246,54.7578125,26.0,15.802469135802468
$1M-$2M,17,1439993.4705882352,1450000.0,4772.882352941177,4835.0,307.45990469670005,290.8514013749339,55.470588235294116,26.0,2.0987654320987654
$2M+,11,4117090.909090909,3475000.0,9598.0,8390.0,453.65443910262167,423.6004108885465,121.63636363636364,32.0,1.3580246913580247
