homeType,listing_count,mean_price,median_price,mean_area,median_area,mean_price_per_sqft,median_price_per_sqft,percentage_of_listings
SINGLE_FAMILY,761,426537.9132720105,314900.0,2277.779237844941,2033.0,170.4595791728165,160.37735849056602,93.95061728395062
MULTI_FAMILY,22,374720.45454545453,387500.0,2527.181818181818,2557.0,150.9238396908575,148.25983417553846,2.7160493827160495
CONDO,13,232775.07692307694,249777.0,1174.923076923077,1120.0,199.64774456373723,188.2268274302939,1.6049382716049383
TOWNHOUSE,10,245740.0,232000.0,1348.3,1381.5,184.59086097574246,170.08868988174683,1.2345679012345678
MANUFACTURED,4,95998.75,57497.5,1406.75,1291.5,78.63222729800172,44.56174193199047,0.49382716049382713
