analysis,group,n,mean_log_price,median_log_price,std_log_price,mean_price,median_price,mean_ci_95_lower_log,mean_ci_95_upper_log
Bedroom Group,3 Bedrooms,360,12.444764056003088,12.439117510492474,0.4914811962544545,284949.90277777775,252500.0000000003,12.393822717462227,12.495705394543949
Bedroom Group,4+ Bedrooms,403,12.936832482027372,12.86099861326992,0.6648796241808678,557336.0620347395,384999.9999999997,12.871722422390523,13.00194254166422
Property Type,CONDO,13,11.995452299355263,12.428323798775647,1.0344400360966122,232775.0769230771,249776.99999999988,11.370346441756622,12.620558156953903
Property Type,MANUFACTURED,4,11.152569115042759,10.958552484306548,0.8770619310756126,95998.75000000001,57497.5,9.756967864014227,12.548170366071291
Property Type,MULTI_FAMILY,22,12.736466091535048,12.862766440686073,0.4765071329590237,374720.45454545435,387499.99999999953,12.525194664532513,12.947737518537583
Property Type,SINGLE_FAMILY,761,12.698312489514475,12.660010407089116,0.6342474711036373,426537.9132720105,314900.0,12.65317819172231,12.74344678730664
Property Type,TOWNHOUSE,10,12.288796229880669,12.354037256050102,0.579519158448618,245740.00000000006,232000.0000000001,11.874233197752627,12.70335926200871
