model,cv_mean_r2,cv_std_r2,cv_mean_rmse_log,cv_mean_mae_log,cv_mean_train_r2,cv_generalization_gap,train_r2,test_r2,test_rmse_log,test_mae_log
Tuned Gradient Boosting,0.8472084779923355,0.08156031523729063,0.24338820839929715,0.17250896577222963,0.9294929167413117,0.08228443874897629,0.9270355088877803,0.7140890090489685,0.2926288495074253,0.18525354634521085
Gradient Boosting,0.84692303454782,0.08325968455780804,0.24348814392122917,0.17238612387817548,0.9298193783912909,0.08289634384347089,0.9282855600345011,0.7155252690928333,0.29189292067726147,0.18499472784852627
Random Forest,0.8348822620608132,0.10268486692230001,0.2508614880207064,0.18035248965338885,0.9785896325251457,0.14370737046433257,0.9784320411490196,0.6710321191358661,0.3138907104937412,0.20453622546686218
Ridge,0.4915888285572819,0.42492458517202814,0.4459751884595228,0.29705285312734225,0.66472004193544,0.17313121337815807,0.6585326738204058,0.4468112605689407,0.40704120942413363,0.2763900080607525
Lasso,0.49090439903794286,0.4297264080409648,0.44595091680078286,0.29712386884804187,0.6647077522258013,0.1738033531878584,0.6585266657267569,0.44755062736205153,0.40676910213108886,0.2764845129544452
Elastic Net,0.4902548485122285,0.42992912934155797,0.4463010649118767,0.29712080869561663,0.6647185897755916,0.17446374126336311,0.6585319042159816,0.4472042316713257,0.40689660791787163,0.2764354031361645
Linear Regression,0.48738043664268804,0.4358420160165084,0.44741162436488463,0.2972032912717485,0.6647240916686388,0.17734365502595073,0.6585342939302096,0.44690237222456897,0.4070076876592904,0.2763834406401452
